",Invoice,2/5/2020,INV19031,""1300-1215 Cable, 7', Cat6, Plenum Rated  3000-0473 Amp, CA-60  3000-0600 Sensor, XD Receiver, SRC14  3010-0103 Power Supply, Wall Mount 24VDC 2A	-3100	""0601 Mic","	AE","	XD	Te	ardrop	"," S""	TD	14  3100	-6	50	Mi	""c","	X	D H	an	dheld","	S	HH14","	3	110-0012 C	harge	r","	Dual	USB	W	all	Mou	nt	Charger	Bl	oc	k","	for	XD	Mi	cs	-3120	6	B	at	tery	L	i-	iON	B	attery	Pack","	3	.7V	700	mAh	2.6	Wh	for	XD	Mics	32	00-000	2 C	ab	le","	75'","	Speaker Wire", Plenum Rated  3200-0003 Cable, 50', Speaker Wire, Plenum Rated  3210-0104 Cable, 15',Plenum Power cable w/2 Spade Lugs to bare wires- use w/3010-0103- for CA-60  3210-0206 Cable, 6', USB 2.0 A Male to Micro-USB B Male, for XD Mics  3300-0003 Speaker, Wall," WS-09""""",1,$1 ,"450.00 """"",$1 ,"450.00 """"",CA,"Antelope Valley High School District""",,,,,,,,,,,,,
",Invoice,2/6/2020,INV19040,""1300-2103 Cable, 3', Cat6, w/Molded Boot, Non-Plenum, Black 1  3000-0473 Amp, CA-60 1  3000-0600 Sensor, AE Logo, XD Receiver, SRC14 1  3010-0103	Power	""Supply","	Wall	Mo	unt	24VDC	2A	1	3100-0	601	M	ic","	A	E","	XD	T	eardro	p","	STD14	1	3100-0650	Mic","	XD	Han	dhel	d","	SH	H14","	1	3110-0	12	C	ha	rger","	D	ual	USB	Wall	Mou	nt	C	harg	er	B	loc	k","	for XD	Mics	1	3	-120	6	Bat	tery	Li	#NAME?	Bat	tery	Pack","	3	7V	700	mAh	2.6 Wh for XD Mics 2  3200-0002 Cable", 75', Speaker Wire, Plenum Rated 1  3200-0003 Cable, 50', Speaker Wire, Plenum Rated 1  3210-0075 Cable, 35', 3.5 to 3.5 M/M Low Profile,40517, Plenum Rated, Shielded 1  3210-0104 Cable, 15',Plenum Power cable w/2 Spade Lugs to bare wires- use w/3010-0103- for CA-60 1  3210-0206 Cable, 6', USB 2.0 A Male to Micro-USB B Male, for XD Mics 2  3300-0043 Tile Bridge, CS-12 4  3300-0044 Speaker, CS-12, Ceiling Speaker," Plenum Rated Back Can 4""""",3,$1 ,"450.00 """"",$4 ,"350.00 """"",CA,"Antelope Valley High School District""",,,,,
",Invoice,7/7/2020,INV19286,""1300-2103 Cable, 3', Cat6, w/Molded Boot, Non-Plenum, Black 1  3000-0473 Amp, CA-60 1  3000-0600 Sensor, AE Logo, XD Receiver, SRC14 1  3010-0103	Power	""Supply","	Wall	Mo	unt	24VDC	2A	1	3100-0	601	M	ic","	A	E","	XD	T	eardro	p","	STD14	1	3100-0650	Mic","	XD	Han	dhel	d","	SH	H14","	1	3110-0	12	C	ha	rger","	D	ual	USB	Wall	Mou	nt	C	harg	er	B	loc	k","	for XD	Mics	1	3	-120	6	Bat	tery	Li	#NAME?	Bat	tery	Pack","	3	7V	700	mAh	2.6 Wh for XD Mics 2  3200-0002 Cable", 75', Speaker Wire, Plenum Rated 1  3200-0003 Cable, 50', Speaker Wire, Plenum Rated 1  3210-0075 Cable, 35', 3.5 to 3.5 M/M Low Profile,40517, Plenum Rated, Shielded 1  3210-0104 Cable, 15',Plenum Power cable w/2 Spade Lugs to bare wires- use w/3010-0103- for CA-60 1  3210-0206 Cable, 6', USB 2.0 A Male to Micro-USB B Male, for XD Mics 2  3300-0043 Tile Bridge, CS-12 4  3300-0044 Speaker, CS-12, Ceiling Speaker," Plenum Rated Back Can 4""""",4,$1 ,"450.00 """"",$5 ,"800.00 """"",CA,"Antelope Valley High School District""",,,,,
",Invoice,3/31/2020,INV19145,ActivConnect OPS - AP PC for Android.,5.00,$0.00 ,$0.00 ,CA,Antelope Valley High School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19146,ActivConnect OPS - AP PC for Android.,3.00,$0.00 ,$0.00 ,CA,Antelope Valley High School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,4/13/2020,INV19159,ActivConnect OPS - AP PC for Android.,1.00,$0.00 ,$0.00 ,CA,Antelope Valley High School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19286,ActivConnect OPS - AP PC for Android.,4.00,$0.00 ,$0.00 ,CA,Antelope Valley High School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/8/2020,INV19396,ActivConnect OPS - AP PC for Android.,4.00,$0.00 ,$0.00 ,CA,Antelope Valley High School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,6/11/2020,INV19240,""ActivPanel Mobile Stand - For use with current & previous versions of ActivPanel *   *only stand compatible with 65"""" panel."",5.00,$549.00 ,""$2,	745	""""""",CA,"Ant""	elop	e V	all	ey Hig	h S	ch	ool Dist	ric	t																																																					",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,6/11/2020,INV19241,""ActivPanel Mobile Stand - For use with current & previous versions of ActivPanel *   *only stand compatible with 65"""" panel."",1.00,$549.00 ,$549	"".00 ","C""	""A","Antelop""	e Va	lle	y H	igh Sc	hoo	l	District																																																							",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,6/11/2020,INV19239,""ActivPanel Mobile Stand - For use with current & previous versions of ActivPanel *   *only stand compatible with 65"""" panel."",3.00,$549.00 ,""$1,	647	""""""",CA,"Ant""	elop	e V	all	ey Hig	h S	ch	ool Dist	ric	t																																																					",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,4/13/2020,INV19159,""ActivPanel Titanium 75"""" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",1.00,""$4,399	"".00 """"","	""$4","399.0""	""0 """"","	CA","	Ant	elope	Val	le	y High S	cho	ol	Di	st	ri	ct																																																	
",Invoice,4/13/20,INV19161,"ActivPanel Titanium 75"""""""" - 4 x Pen", Vesa Mount," WIFI Module & cable pack included. ActivInspire Professional Edition available FOC""""",5,$4 ,"399""	"".00 """"","	""$21","995.""	""00 """"""	""","CA""	""","An""	telope	Va	ll	ey High	Sch	oo	l D	is	tr	ict																																																	",,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,4/13/2020,INV19160,""ActivPanel Titanium 75"""" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",3.00,""$4,399	"".00 """"","	""$13","197.""	""00 """"""	""","CA""	""","An""	telope	Va	ll	ey High	Sch	oo	l D	is	tr	ict																																																	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19286,""ActivPanel Titanium 75"""" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC"",4.00,""$4,399.	""00 """"","""	$17","596.00 ""	""0 """"","	CA","	Ant	elope	Val	le	y High S	cho	ol	Di	st	ri	ct																																																	
",Invoice,9/8/20,INV19396,"ActivPanel Titanium 75"""""""" - 4 x Pen", Vesa Mount," WIFI Module & cable pack included. ActivInspire Professional Edition available FOC""""",4,$4 ,"399.""	""00 """"","""	$17","596.00 ""	""0 """"","	CA","	Ant	elope	Val	le	y High S	cho	ol	Di	st	ri	ct																																																	
",Invoice,9/22/20,INV19430,"ActivPanel Titanium 75"""""""" - 4 x Pen", Vesa Mount," WIFI Module & cable pack included. ActivInspire Professional Edition available FOC""""",4,$3 ,"999""	"".00 """"","	""$15","996.""	""00 """"""	""","CA""	""","An""	telope	Va	ll	ey High	Sch	oo	l D	is	tr	ict																																																	",,,,,,,,,,,,
",Invoice,11/17/2020,INV19569,""ActivPanel Titanium 75"""" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition available FOC    **PEPPM C	ontrac	t 528899-	123	Pro	met	hean**	""""""","6""	8	""00",$3 ,"9""	99	0	""""""","	""$""	27	""1","9""	32	"".00 """"","	CA	","Antel""	op	e Valley H	igh S	cho	ol D	istr	ic	t																																					",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/22/2020,INV19430,""AE Sentinel Classroom System SP-9104: CS-12 (4) Ceiling Speaker Kit (1 each)  XD-9001: XD Receiver with 3' Cat6 Kit (1 each)  XD-9025: Microphon	e XD T	eardrop M	ic K	it	(1	each)	AM	-9	001: CA-	60A	A	mpl	if	ie	""r","	Po	wer Su	pp	ly and	P	ower Cable	with	Sp	ade	Lugs	O	nly	(1	ea	ch)  XD-	905	0:00	M	icrop	ho	ne	XD H	andhe	ld M	ic	K	it (	1	ea	ch)	""","	4.00","$""	""1","450""	0	""0 """"""	""","$5""	""","800""	0	""""""","CA""	""","An""	telo	pe V	alle	y High	Sc	ho	ol D	istr	ict",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,10/21/2020,INV19526,""AE Sentinel Classroom System SP-9104: CS-12 (4) Ceiling Speaker Kit (1 each)  XD-9001: XD Receiver with 3' Cat6 Kit (1 each)  XD-9025: Micropho	ne XD	Teardrop	Mic	Kit	(1	each)	A	M-	9001: CA	-60	A	Amp	li	fi	""er","	P	ower S	up	ply an	d	Power Cabl	e wit	h S	pade	Lug	s	Onl	y (1	e	ach)  XD	-90	50	:	Micro	ph	one	XD	Handh	eld	Mi	c	Kit	(1	e	ach	)	**PEP	PM Co	nt	rac	t 52	9461	-6	Aud	io	Enha	ncem	ent*	*""""","100""	0	""","""	$1","4""	50	""0 """"",$145 ,"000.00 """"",CA,"Antelope Valley High School District""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,10/21/2020,INV19525,""AE Sentinel Classroom System SP-9104: CS-12 (4) Ceiling Speaker Kit (1 each)  XD-9001: XD Receiver with 3' Cat6 Kit (1 each)  XD-9025: Micropho	ne XD	Teardrop	Mic	Kit	(1	each)	A	M-	9001: CA	-60	A	Amp	li	fi	""er","	P	ower S	up	ply an	d	Power Cabl	e wit	h S	pade	Lug	s	Onl	y (1	e	ach)  XD	-90	50	:	Micro	ph	one	XD	Handh	eld	Mi	c	Kit	(1	e	ach	)	**PEP	PM Co	nt	rac	t 52	9461	-6	Aud	io	Enha	ncem	ent*	*""""","94.""	""00","	""$""	""1","45""	0	""""""",$136 ,"300.00 """"",CA,"Antelope Valley High School District""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,12/31/2020,INV19627,""AE Sentinel Classroom System SP-9104: CS-12 (4) Ceiling Speaker Kit (1 each)  XD-9001: XD Receiver with 3' Cat6 Kit (1 each)  XD-9025: Micropho	ne XD	Teardrop	Mic	Kit	(1	each)	A	M-	9001: CA	-60	A	Amp	li	fi	""er","	P	ower S	up	ply an	d	Power Cabl	e wit	h S	pade	Lug	s	Onl	y (1	e	ach)  XD	-90	50	:	Micro	ph	one	XD	Handh	eld	Mi	c	Kit	(1	e	ach	)	**PEP	PM Co	nt	rac	t 52	9461	-6	Aud	io	Enha	ncem	ent*	*""""","313""	0	""","""	$1","4""	50	""0 """"",$453 ,"850.00 """"",CA,"Antelope Valley High School District""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/8/2020,INV19396,Audio Enhancement Sentinel XD System Pal - 4 Ceiling Speakers (KIT) SP-9104 CS-12 (4) Ceiling Speaker Kit  SP-0001 CS-12 Ceiling Speaker Plenum Ti	le Bri	dge AC-00	02 7	5'	Ple	num Sp	eak	er	Wire  A	C-0	0	3 5	0'	P	len	um	Speak	er	Wire	X	D-9001 XD	Recei	ver	wit	h 3'	c	at6	kit		XD-0601	Sen	so	r	AE Lo	go	XD	Rec	eiver	SRC	14	A	C-01	2	3	' c	at	6 Plenu	m bla	ck	X	D-90	25 M	icro	phon	e X	D Te	ardr	op M	ic Kit	X	D-	701	AE	""XD Teardrop STD14 XD-5011 Dual USB Wall Mount Charger Block XD XD-5021 6' USB 2.0 A Male to Micro-USB B Male XD XD-5001 Li-iON Battery Pack 3.7V 700 mAh 2.6 Wh AM-9001 CA-60A Amp Kit AC-1002 Power Supply Wall Mount 24VDC 2A AC-1003 15' plnm Power Cable Spade Lug  AM-0102 CA-60A  XD-9050 XD Handheld Kit  XD-0801 XD Handheld SHH14 XD-5001 Li-iON Battery Pack 3.7V 700 mAh 2.6Wh XD-58021 6' USB 2.0 A Male to Micro USB B Male XD",4,$1 ,"450.00 """"",$5 ,"800.00 """"",CA,"Antelope Valley High School District""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,11/24/2020,INV19579,""Certified Professional Installation of ActivPanel, Wall Mount, Chromebox, Webcam, Audio Enhancement with 4 Ceiling Speakers. Data run from exis	ting p	ort in ro	om.	Al	l c	abling	an	d	raceway	inc	lu	ded	""""""","	4	00","	""$""	""1","150.00""	0	""""""","$4""	""","6""	""00.00 """"","CA""	""","Ante""	lop	e Va	lley	H	igh	Sch	oo	l Distri	ct																																	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/24/2020,INV19431,""Certified Professional Installation of ActivPanels and wall mount, Lenovo Micro PC behind panels (right side), webcam, audio enhancement with 4	ceilin	g speaker	. Al	l c	abl	ing an	d r	ac	eway inc	lud	ed	.							***Des	er	t Winds HS	***	**D	igit	alEd	ge	Co	ntra	ct	#ESD112	#NAME?	-1	6A	""*""""","4.""	0	""","$""	""1","15""	0	""""""","$""	""4","	60	0	""""	","C""	""A","A""	nt	elope V	alley	H	igh	Sch	ool	Dist	rict										",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/15/2020,INV19419,""Certified Professional Installation of ActivPanels and wall mount, Lenovo Micro PC behind panels (right side), webcam, audio enhancement with 4	ceilin	g speaker	. Al	l c	abl	ing an	d r	ac	eway inc	lud	ed	.							***Rex	P	arris HS**	*  **	Dig	ital	Edge	C	ont	ract	#	ESD112-D	E-1	6A	""*""""""	""","4.00""	""","""	$1","	150	00 """"","	""$4","	60	0	00 """"""	""","C""	""A","	Ant	el	ope Val	ley H	ig	h S	choo	l Di	stri	ct										
",Invoice,6/11/20,INV19240,"Certified Professional Installation of ActivPanels with ActivConnect OPS and all necessary cabling on ProColor Mobile Carts    ***Eastside HS***""	**Digi	talEdge C	ontr	act	#E	SD112-	DE-	16	""A**","5.00""	""","$5""	75	0	""","	""$""	""2","8""	75	"".00 """"","	CA	","Antel""	op	e Valley H	igh S	cho	ol D	istr	ic	t																																					",,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,6/11/2020,INV19239,Certified Professional Installation of ActivPanels with ActivConnect OPS and all necessary cabling on ProColor Mobile Carts    ***Eastside HS***	**Digi	talEdge C	ontr	act	#E	SD112-	DE-	16	""A**","3.00""	""","$5""	75	0	""","	""$""	""1","7""	25	"".00 """"","	CA	","Antel""	op	e Valley H	igh S	cho	ol D	istr	ic	t																																					",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,6/11/2020,INV19241,Certified Professional Installation of ActivPanels with ActivConnect OPS and all necessary cabling on ProColor Mobile Carts    ***Eastside HS***	**Digi	talEdge C	ontr	act	#E	SD112-	DE-	16	""A**","1.00""	""","$5""	75	0	""","	$5 	75	0	",CA,"A""	nt	elope	Va	lley High	Schoo	l D	istr	ict																																							",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,12/29/2020,INV19621,""Certified Professional Integration of Activpanel and wall mount in to existing classroom infrastructure including audio system and data run fro	m exis	ting port	. In	clu	des	all c	abl	es	"""," racewa""	y a	nd	po	we	r	str	ip	s to c	om	plete	in	stall to d	istri	ct	stan	dard	s.		*	*P	EPPM Con	tra	ct	5	28899	-1	23	Prom	ethea	""n**""""""	""","6""	8	""00","""	$1 	","2""	35	0	""""""","$83""	""","980.""	0	""""""","	CA","A""	ntel	ope	Vall	ey	High	Sch	ool	Distri	ct				",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,10/21/2020,INV19528,""Container Antelope Valley HS  ActivPanel Titanium 75"""" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edit	ion av	ailable F	""OC""""","	84	00","	""$3","99""	9	0	""""""",$335 ,"	916	0	0 """"""	""","C""	""A","	Ant	el	ope Va	ll	ey Hig	h	School Dis	trict																																										
",Invoice,10/21/20,INV19527,"Container Lancaster HS  ActivPanel Titanium 75"""""""" - 4 x Pen", Vesa Mount," WIFI Module & cable pack included. ActivInspire Professional Edition av""	ailabl	""e FOC""""","84""	"".00","	""$3""	""","99""	""9.00 """"""	""","$""	33	""5","916.00""	""""""","	CA	","An""	te	lo	pe	Va	lley H	ig	h Scho	ol	District																																											",,,,,,,,,,,,,,,,,,,,,,
",Invoice,10/21/2020,INV19529,""Container Quartz Hill HS ActivPanel Titanium 75"""" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional Edition a	vailab	""le FOC""""","8""	4	""","$""	""3","9""	99	""""""","""	$3 	35","916.00""	""0 """"""	""","C""	""A","A""	nt	el	ope	V	alley	Hi	gh Sch	oo	l District																																											",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,11/21/2020,INV19573,""Container William J Pete Knight HS ActivPanel Titanium 75"""" - 4 x Pen, Vesa Mount, WIFI Module & cable pack included. ActivInspire Professional	Editi	on availa	ble	FOC	""""""","8""	""4.00","""	$3","	99	9.00 """"","""	$33 	5","	916	0	0	""","C""	""A","	Antelo	pe	Valle	y	High Schoo	l Dis	tri	ct																																								
",Invoice,2/6/20,INV19043,"Desert Winds High School - Certified Professional Integration of Activpanel and wall mount in to existing classroom infrastructure including audio""	syste	m and dat	a ru	n f	rom	exist	ing	p	""ort.","3.0""	""0","""	$1 	","10""	0	0	""""""","	""$""	""3","300.00""	0	""""""",CA,"	An	telope Val	ley H	igh	Sch	ool	Di	str	ict																																				
",Invoice,2/6/20,INV19042,"Highland High School - Certified Professional Integration of Activpanel and wall mount in to existing classroom infrastructure including audio sys""	tem an	d data ru	n fr	om	exi	sting	por	t.	""",17,"""	$1","	10	0	0	""","	""$1""	""8","	700	""""	",CA,"An""	te	lope Valle	y Hig	h S	choo	l Di	st	ric	t																																				",,,,,,,,,,,,,
",Invoice,2/3/2020,INV19027,Lancaster High School - Certified Professional Integration of Activpanel and wall mount in to existing classroom infrastructure including audio sy	stem a	nd data r	un f	rom	ex	isting	po	rt	"".",11,"	""$1""	""","1""	0	0	""""""""	""","$""	12	""","100.0""	0	""""""",CA,"A""	nt	elope Vall	ey Hi	gh	Scho	ol D	is	tri	ct																																				",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/6/2020,INV19040,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,3.00,$49.99 ,$149.97 ,CA,Antelope Valley High School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19146,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,3.00,$49.99 ,$149.97 ,CA,Antelope Valley High School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19145,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,5.00,$49.99 ,$249.95 ,CA,Antelope Valley High School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,4/13/2020,INV19159,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,1.00,$49.99 ,$49.99 ,CA,Antelope Valley High School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19286,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,4.00,$49.99 ,$199.96 ,CA,Antelope Valley High School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/15/2020,INV19419,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,4.00,$49.99 ,$199.96 ,CA,Antelope Valley High School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,11/24/2020,INV19579,LENOVO : Lenovo Essential Wireless Keyboard and Mouse Combo - US English,4.00,$49.99 ,$199.96 ,CA,Antelope Valley High School District																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19146,Lenovo Tiny VESA Mount II- system mounting bracket. System mounting bracket - for ThinkCentre M700; M715q; M72e; M900; M92; M92p; M93p,3.00,$25.5	""7 ","$76""	"".71 ",CA,"A""	ntel	ope	Va	lley H	igh	S	chool Di	str	ic	t																																																				",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19145,Lenovo Tiny VESA Mount II- system mounting bracket. System mounting bracket - for ThinkCentre M700; M715q; M72e; M900; M92; M92p; M93p,5.00,$25.5	""7 ","$12""	""7.85 ",CA,"	Ante	lop	e V	alley	Hig	h	School D	ist	ri	ct																																																				
",Invoice,4/13/20,INV19159,Lenovo Tiny VESA Mount II- system mounting bracket. System mounting bracket - for ThinkCentre M700; M715q; M72e; M900; M92; M92p; M93p,1,"$25.5""	""7 ","$25""	"".57 ",CA,"A""	ntel	ope	Va	lley H	igh	S	chool Di	str	ic	t																																																				",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19286,Lenovo Tiny VESA Mount II- system mounting bracket. System mounting bracket - for ThinkCentre M700; M715q; M72e; M900; M92; M92p; M93p,4.00,$25.57	""","$102""	"".28 ",CA,"A""	ntel	ope	Va	lley H	igh	S	chool Di	str	ic	t																																																				",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/6/2020,INV19039,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,2.00,$79.99 ,$159.98 ,CA,Antelope Valley High School Distr	ict																																																															",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,2/6/2020,INV19040,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,3.00,$79.99 ,$239.97 ,CA,Antelope Valley High School Distr	ict																																																															",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19146,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,3.00,$79.99 ,$239.97 ,CA,Antelope Valley High School Dist	rict																																																															",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,3/31/2020,INV19145,Logitech HD Pro Webcam C920. Web camera - color - 1920 x 1080 - audio - USB 2.0 - H.264,5.00,$79.99 ,$399.95 ,CA,Antelope Valley High School Dist	rict																																																															",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
